image_name,label
"digit_0,0.png",0
"digit_0,1.png",0.1
"digit_0,2.png",0.2
"digit_0,3.png",0.3
"digit_0,4.png",0.4
"digit_0,5.png",0.5
"digit_0,6.png",0.6
"digit_0,7.png",0.7
"digit_0,8.png",0.8
"digit_0,9.png",0.9
"digit_1,1.png",1
"digit_1,1.png",1.1
"digit_1,2.png",1.2
"digit_1,3.png",1.3
"digit_1,4.png",1.4
"digit_1,5.png",1.5
"digit_1,6.png",1.6
"digit_1,7.png",1.7
"digit_1,8.png",1.8
"digit_1,9.png",1.9
"digit_2,2.png",2
"digit_2,1.png",2.1
"digit_2,2.png",2.2
"digit_2,3.png",2.3
"digit_2,4.png",2.4
"digit_2,5.png",2.5
"digit_2,6.png",2.6
"digit_2,7.png",2.7
"digit_2,8.png",2.8
"digit_2,9.png",2.9
"digit_3,3.png",3
"digit_3,1.png",3.1
"digit_3,2.png",3.2
"digit_3,3.png",3.3
"digit_3,4.png",3.4
"digit_3,5.png",3.5
"digit_3,6.png",3.6
"digit_3,7.png",3.7
"digit_3,8.png",3.8
"digit_3,9.png",3.9
"digit_4,4.png",4
"digit_4,1.png",4.1
"digit_4,2.png",4.2
"digit_4,3.png",4.3
"digit_4,4.png",4.4
"digit_4,5.png",4.5
"digit_4,6.png",4.6
"digit_4,7.png",4.7
"digit_4,8.png",4.8
"digit_4,9.png",4.9
"digit_5,0.png",5
"digit_5,1.png",5.1
"digit_5,2.png",5.2
"digit_5,3.png",5.3
"digit_5,4.png",5.4
"digit_5,5.png",5.5
"digit_5,6.png",5.6
"digit_5,7.png",5.7
"digit_5,8.png",5.8
"digit_5,9.png",5.9
"digit_6,0.png",6
"digit_6,1.png",6.1
"digit_6,2.png",6.2
"digit_6,3.png",6.3
"digit_6,4.png",6.4
"digit_6,5.png",6.5
"digit_6,6.png",6.6
"digit_6,7.png",6.7
"digit_6,8.png",6.8
"digit_6,9.png",6.9
"digit_7,0.png",7
"digit_7,1.png",7.1
"digit_7,2.png",7.2
"digit_7,3.png",7.3
"digit_7,4.png",7.4
"digit_7,5.png",7.5
"digit_7,6.png",7.6
"digit_7,7.png",7.7
"digit_7,8.png",7.8
"digit_7,9.png",7.9
"digit_8,0.png",8
"digit_8,1.png",8.1
"digit_8,2.png",8.2
"digit_8,3.png",8.3
"digit_8,4.png",8.4
"digit_8,5.png",8.5
"digit_8,6.png",8.6
"digit_8,7.png",8.7
"digit_8,8.png",8.8
"digit_8,9.png",8.9
"digit_9,0.png",9
"digit_9,1.png",9.1
"digit_9,2.png",9.2
"digit_9,3.png",9.3
"digit_9,4.png",9.4
"digit_9,5.png",9.5
"digit_9,6.png",9.6
"digit_9,7.png",9.7
"digit_9,8.png",9.8
"digit_9,9.png",9.9
digit_10.jpg,10
